分類,品牌名稱,注音,品牌旗艦館連結,品牌旗艦館APP連結,大網LOGO,小網LOGO,品牌Logo背景圖
3C／家電,Acer宏碁,ㄏ,https://www.etmall.com.tw/bs/53236,a92,https://media.etmall.com.tw/Promo/Image/Kanban/70/261800/41b75343-294c-4a1d-9ade-65600793206e.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/261800/a7b6a1c8-1b25-4455-a624-1cdeb6fb9726.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/261800/eab8b07d-cfd5-4725-8a8e-a813b2c76f2a.jpg
傢寢／運休,H＆D,,https://www.etmall.com.tw/bs/53215,a93,//media.etmall.com.tw/Promo/Image/Kanban/70/158140/1827d2c1-674b-426a-ab17-d816f028dcb2.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/158140/76c97b1f-37fa-4541-a4d3-caa2ab07274b.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/53215/2017121815204_750X200_品牌-Logo背景圖.jpg
衣／鞋／錶,PLAYBOY,,https://www.etmall.com.tw/bs/73391,a94,https://media.etmall.com.tw/Promo/Image/BrandPublish/73391/202071417189_230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/73391/202071417183_160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/73391/202071417184_750x200.jpg
衣／鞋／錶,玉如阿姨,ㄩ,https://www.etmall.com.tw/bs/171798,a95,https://media.etmall.com.tw/Promo/Image/Kanban/70/282138/245ec90e-7ded-4ee2-991c-d448bfe01513.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/282138/7b5907b3-0780-4b4a-b77b-b1a62aea2a39.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/282138/4061fbf5-2b80-4979-802e-87a76b09b4b2.jpg
美妝保健,正官庄,ㄓ,https://www.etmall.com.tw/bs/117426,a96,https://media.etmall.com.tw/Promo/Image/BrandPublish/117426/201851716443_04_東森 LOGO BN_230x90-90k_0418.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/117426/201851716443_logo_160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/117426/201851716448_750x200.jpg
美食,味丹,ㄨ,https://www.etmall.com.tw/bs/158213,a97,https://media.etmall.com.tw/Promo/Image/Kanban/70/218317/578f756a-3553-45c0-85bf-b3823acb6f68.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/218317/9872e1d2-794a-4cb3-9dc7-673215d5d3a6.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/218317/1339b003-5cb1-4fe4-9c5d-79478a98356f.jpg
日用／婦幼,Hills希爾思,ㄒ,https://www.etmall.com.tw/bs/114349,a98,https://media.etmall.com.tw/Promo/Image/BrandPublish/114349/202031910488_東森-希爾思logo_230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/114349/20196261867_160x160.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/158202/d9ecda86-c28c-469b-b838-2beb13abfcf7.jpg
衣／鞋／錶,亞帝芬奇,ㄧ,https://www.etmall.com.tw/bs/54400,a99,https://media.etmall.com.tw/Promo/Image/BrandPublish/54400/2017121315352_230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/54400/2017121315352_160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/54400/2017121315357_750x200.jpg
衣／鞋／錶,思薇爾,ㄙ,https://www.etmall.com.tw/bs/113211,a100,https://media.etmall.com.tw/Promo/Image/BrandPublish/113211/2017122113567_230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/113211/2017122113567_160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/113211/2017122113563_750x200_gray.jpg
日用／婦幼,東森便利店,ㄉ,https://www.etmall.com.tw/bs/150159,a101,//media.etmall.com.tw/Promo/Image/Kanban/70/196283/67844d64-1955-4d43-970b-3ea31a06f430.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/196283/10653ffc-56fa-45a5-aaad-14af2a242e43.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/196283/4976e37e-d635-4656-9235-690e4157bb98.jpg
日用／婦幼,Le Creuset,,https://www.etmall.com.tw/bs/146165,a102,https://media.etmall.com.tw/Promo/Image/Kanban/70/213296/387ded7b-041a-45d7-9653-72e95dde19de.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/213296/f7418a9e-b3cc-4e06-9eff-11d4002c18d5.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/213296/8e432222-e204-4ff0-aa78-2a66e9d698db.jpg
